output_id,phase,disease_id,locked_disease_label,public_disease,blinded_output_id,score_definition,human_updated_DGQC,expert_confirmed_CD,usable_draft,file_path,sha256,pages,pdf_title_metadata,topic_check,known_note
R1-OpenSAGE-sars,Stage 1,R1D35,SARS,SARS,G43_SARS.pdf,R1 formal rerating,59.26,no,no,outputs/opensage/SARS.pdf,23ff6a483f16ed5adca101305d3743314e2ace9956a9d1f1b8126269a61c1936,18,SARS,pass,
R1-OpenSAGE-schistosomiasis,Stage 1,R1D36,Schistosomiasis,Schistosomiasis,G44_Schistosomiasis.pdf,R1 formal rerating,79.90,no,yes,outputs/opensage/Schistosomiasis.pdf,03edb2874dca4b934c50d3087564ed26c30aea6b5298f50f77dd9183bafb6bda,14,Schistosomiasis,pass,
R1-OpenSAGE-sexually_transmitted_infections,Stage 1,R1D37,Sexually Transmitted Infections (STI),STI,G45_Sexually Transmitted Infections (STI).pdf,R1 formal rerating,77.44,no,yes,outputs/opensage/Sexually Transmitted Infections (STI).pdf,6644537913b8e53a53544be0f986b0db986d7d98199a5e8c03c181138f151576,11,Sexually Transmitted Infections (STI),pass,
R1-OpenSAGE-shigellosis,Stage 1,R1D38,Shigellosis,Shigellosis,G46_Shigellosis.pdf,R1 formal rerating,75.48,no,yes,outputs/opensage/Shigellosis.pdf,c1b26bcce0f7d80a2a4ff1f37144d9d79dc793a206098ec5041529b019dea97b,17,Shigellosis,pass,
R1-OpenSAGE-snake_bite,Stage 1,R1D39,Snake Bite,Snake Bite,G47_Snake Bite.pdf,R1 formal rerating,70.09,no,yes,outputs/opensage/Snake Bite.pdf,e83fcf83814c0cba59dc8379d66bc6b49d9a9c3f574581626087f30a7ba829f4,15,Snake Bite.md,pass,
R1-OpenSAGE-strongyloidiasis,Stage 1,R1D40,Strongyloidiasis,Strongyloidiasis,G48_Strongyloidiasis.pdf,R1 formal rerating,74.80,no,yes,outputs/opensage/Strongyloidiasis.pdf,8229d4fdf7a1fcb7105e44d54311444f86c33f7460e89052240aa5d384332bf6,14,Strongyloidiasis,pass,
R1-OpenSAGE-taeniosis_cysticercosis,Stage 1,R1D41,Taeniosis_Cysticercosis,Taeniasis/Cysticercosis,G50_Taeniosis_Cysticercosis.pdf,R1 formal rerating,79.57,no,yes,outputs/opensage/Taeniosis_Cysticercosis.pdf,5f2e447fb1d20481f31df3fcd665ca590596ac03826df4f7dfc9610630a2935c,24,Taeniosis_Cysticercosis,pass,
R1-OpenSAGE-trachoma,Stage 1,R1D42,Trachoma,Trachoma,G51_Trachoma.pdf,R1 formal rerating,68.99,no,no,outputs/opensage/Trachoma.pdf,1963a8cf13283d3ed415494309dc941711f2129a33b3f728a2b252c4c9819958,24,Trachoma,pass,
R1-OpenSAGE-trypanosomiasis,Stage 1,R1D43,Trypanosomiasis,Trypanosomiasis,G52_Trypanosomiasis.pdf,R1 formal rerating,76.25,no,yes,outputs/opensage/Trypanosomiasis.pdf,14c82d7fcc46a4beea2b66bee7f5a0e28628398a13ad4522aa8a1b2cdf3cdc8e,20,Trypanosomiasis,pass,
R1-OpenSAGE-tungiasis,Stage 1,R1D44,Tungiasis,Tungiasis,G54_Tungiasis.pdf,R1 formal rerating,65.26,yes,no,outputs/opensage/Tungiasis.pdf,b93795da25a166ad9bc677b8ea2ef804e5af03877ce1fcb295f6cdd53738f983,7,Tungiasis,pass,
